feature,LASSO,RF,MI,Univariate,Clinical,n_methods,selected
性别,False,False,True,False,False,1,False
总住院天数,True,False,True,False,False,2,True
总住院费用,True,True,True,False,False,3,True
年龄,True,False,True,False,True,2,True
手术时间,True,False,True,False,True,2,True
高血压,True,False,False,False,True,1,True
糖尿病,False,False,False,False,True,0,True
冠心病,False,False,False,False,False,0,False
手术类型,True,False,False,False,False,1,False
APACHEII,False,False,False,False,True,0,True
术中失血量,True,False,True,False,True,2,True
术中晶体液量,False,False,False,False,False,0,False
术中胶体液量,True,False,False,False,False,1,False
术中尿量,False,False,False,False,True,0,True
术前SBP,True,False,True,False,False,2,True
术前DBP,True,False,False,False,False,1,False
术后SBP,False,False,False,False,False,0,False
术后DBP,True,False,False,False,False,1,False
术前Alb,False,False,False,False,False,0,False
术前ALT,False,False,False,False,False,0,False
术前AST,True,False,False,False,False,1,False
术前ALTAST,True,False,False,False,False,1,False
术前K,True,False,False,False,False,1,False
术前CKMB,True,False,False,False,False,1,False
术前CK,False,False,False,False,False,0,False
术前CKMBCK,False,False,False,False,False,0,False
术前hsTn,True,False,True,False,False,2,True
术前Mb,True,False,False,False,False,1,False
术前UA,True,False,False,False,False,1,False
术前RBP,False,False,False,False,False,0,False
术前β2MG,False,False,False,False,False,0,False
术前eGFR,True,True,False,False,True,2,True
术前Scr,True,True,False,False,True,2,True
ICUAdmeGFR,True,True,True,False,False,3,True
ICUAdmSCr,False,True,True,False,False,2,True
术后48heGFR,True,True,True,False,False,3,True
术后48hSCr,True,True,True,False,False,3,True
术后7deGFR,False,True,True,False,False,2,True
术后7dSCr,True,True,True,False,False,3,True
术前Urea,False,False,True,False,False,1,False
术后Urea,True,False,True,False,False,2,True
术后48hUrea,False,True,True,False,False,2,True
术后7dUrea,True,True,True,False,False,3,True
术后Alb,True,False,False,False,False,1,False
术后ALT,False,False,True,False,False,1,False
术后AST,False,False,False,False,False,0,False
术后ALTAST,True,False,False,False,False,1,False
术后K ,False,False,False,False,False,0,False
术后CKMB,True,False,True,False,False,2,True
术后CK,False,False,False,False,False,0,False
术后CKMBCK,True,False,False,False,False,1,False
术后hsTn,True,False,True,False,False,2,True
术后Mb,False,False,True,False,False,1,False
术后UA,False,False,False,False,False,0,False
术后7dRBP,False,False,False,False,False,0,False
术后β2MG,False,True,True,False,False,2,True
术前pH,False,False,False,False,False,0,False
术前PaCO2,True,False,True,False,False,2,True
术前PaO2 ,False,False,False,False,False,0,False
术前BE,False,False,False,False,False,0,False
术前HCO3,False,False,False,False,False,0,False
术前Lactate,False,False,False,False,False,0,False
术后pH,True,False,False,False,False,1,False
术后PaCO2 ,False,False,True,False,False,1,False
术后PaO2,False,False,True,False,False,1,False
术后BE,False,False,True,False,False,1,False
术后HCO3,False,False,False,False,False,0,False
术后Lactate,True,True,False,False,False,2,True
术前CRP,True,False,False,False,False,1,False
术前WBC,False,False,False,False,False,0,False
术前NEUT,True,False,False,False,False,1,False
术前LYM,False,False,False,False,False,0,False
术前MONO,True,False,False,False,False,1,False
术前NLR,False,False,False,False,False,0,False
术前PLR,False,False,False,False,False,0,False
术前LMR,False,False,True,False,False,1,False
术前CAR,True,False,False,False,False,1,False
术前Hb,False,False,False,False,False,0,False
术前PLT,True,False,False,False,False,1,False
术后CRP,False,False,False,False,False,0,False
术后WBC,False,False,False,False,False,0,False
术后NEUT,False,False,False,False,False,0,False
术后LYM,True,False,False,False,False,1,False
术后MONO,False,False,False,False,False,0,False
术后NLR,False,False,False,False,False,0,False
术后PLR,True,False,False,False,False,1,False
术后LMR,False,False,False,False,False,0,False
术后CAR,False,False,True,False,False,1,False
术后Hb,False,False,False,False,False,0,False
术后PLT,False,False,False,False,False,0,False
术前BNP,True,False,False,False,False,1,False
术后BNP,True,False,False,False,False,1,False
术后通气时间,True,True,True,False,False,3,True
ICU住院天数,True,True,False,False,False,2,True
